ds,yhat,yhat_lower,yhat_upper
2024-05-26,3170.8932140071033,1093.4276890867561,5446.56050886079
2024-05-27,3277.276926100956,1102.899750615585,5438.274732390395
2024-05-28,4516.088261557936,2483.5542821073313,6584.619634093926
2024-05-29,5976.075879679387,3735.018931455207,8169.813692187093
2024-05-30,2646.8551657017933,462.2474339051637,4842.384685753802
2024-05-31,3848.6897827769726,1682.4987209286644,6116.665894280768
2024-06-01,3288.264281814816,1343.3515142673189,5575.582461803331
2024-06-02,2277.106887433727,219.42142721464276,4477.939696745418
2024-06-03,3477.018515990313,1335.1584084961646,5527.007267877239
2024-06-04,4423.212055342618,2165.900085137501,6421.677301284221
2024-06-05,5191.482103825197,3010.5819046683687,7469.712107376698
2024-06-06,6220.011561817128,4184.494008423432,8330.649686474499
2024-06-07,6345.433158034146,4283.449660393146,8611.886906052343
2024-06-08,3656.621335098656,1588.6693272492546,5824.719838862765
2024-06-09,5322.500358977353,3184.431244979833,7389.993128877296
2024-06-10,6222.386610221219,4072.418878509549,8327.476035765965
2024-06-11,5891.145495243344,3849.5556907454315,8084.713947986384
2024-06-12,5901.034985056692,3790.0706321721177,8131.200425976749
2024-06-13,6018.487586628838,3922.2198915717854,8161.904818605229
2024-06-14,5916.220148913937,3813.809968822261,8224.09020004633
2024-06-15,4073.3562598943336,1915.1402354921827,6186.68397566401
2024-06-16,3608.1674820327216,1394.4083555010338,5726.070541019853
2024-06-17,4452.835826079922,2309.7112968913816,6585.306038143758
2024-06-18,4309.874775540928,2145.3971474136783,6518.356664742544
2024-06-19,3821.3432863643584,1592.7501986670277,5906.780416954931
2024-06-20,4036.0418730690335,1933.4241381959093,6318.823665837583
2024-06-21,3602.5960821502645,1422.1144190195232,5819.840915732219
2024-06-22,2497.2151831149868,323.1088158040144,4826.123296538176
2024-06-23,3089.2954367120105,1005.1380214186838,5290.209505534576
2024-06-24,2918.8499831174518,646.7773251233879,4957.1793326067655
2024-06-25,6735.695349541838,4656.21823253366,8843.985553135604
2024-06-26,7539.006872435844,5284.359704439079,9759.010749287627
2024-06-27,7389.23652135891,5313.822099956506,9703.105579388315
2024-06-28,2917.1621962818504,858.7255842076112,5178.854726922729
2024-06-29,3655.3533842485904,1404.8406809036042,5875.279995313403
2024-06-30,5156.117324961949,3059.5261035226777,7401.050123710067
2024-07-01,4530.9940175573265,2325.6694855004444,6770.893767808307
2024-07-02,3041.983146064664,1013.9780648141788,5163.197691445652
2024-07-03,7029.831470128823,4935.54913336487,9280.70725592195
2024-07-04,5647.378768167782,3417.7130449290626,7794.120587860192
2024-07-05,2597.7305240605665,421.5250603138808,4753.773633103062
2024-07-06,3375.1357316370286,1396.2685021099462,5567.387526221921
2024-07-07,3122.879714210161,1016.4203638549004,5297.177344294613
2024-07-08,2526.859112439869,387.07648487667643,4672.246888201966
2024-07-09,2890.1242507918796,775.9874841700491,4995.266290853584
2024-07-10,2630.4753791440203,403.8545589003168,4721.530691103855
2024-07-11,2283.4806676383496,269.3594670608045,4356.391634217957
2024-07-12,2895.6375286775606,521.9568218421524,5288.105545447535
2024-07-13,3189.781532062112,997.7034620581803,5392.706558397542
2024-07-14,3232.631295669822,1018.2015196773041,5357.299779795276
2024-07-15,6067.999507650178,3853.0338593819774,8308.845370833451
2024-07-16,4321.778787236737,2303.3253673675404,6460.50771242453
2024-07-17,4598.0908136350745,2298.8637338545705,6655.939379219983
2024-07-18,4685.374815373379,2466.084013977732,6856.516787849357
2024-07-19,2074.066390589677,-45.01437188507046,4268.963486132039
2024-07-20,3057.401816511263,889.1970765308824,5148.811007739245
2024-07-21,2966.3641043826556,782.0372681630364,5165.09511628979
2024-07-22,3525.0348275926854,1266.6869154662209,5739.268838465079
